Title	Price	City	Location	Microlocation	Street	Type	Area	Rooms	Poster	Heating	Furnished	Floor	FloorTotal	PaymentType	Additional	Other	Description	PostingId	PostingDate
Južni bulevar-stan sa garažom	600 €	Beograd	Opština Vračar	Južni bulevar	Južni bulevar	stan	58 m2	2.0	Agencija	CG	namešteno	1	5	mesečno	['Nije poslednji sprat', 'Nije stan u kući', 'Depozit']	['Terasa', 'Klima', 'Lift', 'Interfon', 'Garaža']	U prilici smo da vam ponudimo fenomenalan stan u ulici Južni bulevar. Stan je po strukturi dvosoban, severoistočne orijentacije izuzetno svetao. Sastoji se od hodnika, kuhinje sa trpezarijom, dnevne sobe sa izlaskom na terasu, spavaće sobe i kupatila. Kompletno opremljen sa novim nameštajem. Depozit za stan je obavezan. Stan je useljiv odmah! U stanu je centralno grejanje (na kalolimetre).  Stan ima pripadajuće garažno mesto koje ulazi u cenu. Za sve dodatne informacije, naš agent vam stoji na raspolaganju. Pozovite nas!	5425646752034	02.03.2026. u 11:36
Garsonjera kod TC Stadion	300 €	Beograd	Opština Voždovac	Braće Jerković	Vanđela Tome	stan	30 m2	0.5	Vlasnik	CG	namešteno	VPR	2	mesečno	['Odmah useljiv', 'Za nepušače', 'Za studente']	['Terasa']	Izdajem garsonjeru u mirnom kraju, blizu TC Stadion. Idealno za zaposlene i studente. Odlična povezanost sa svim delovima grada. Za struju i grejanje se plaća fiksno 5000 din mesečno. 	5425645978010	02.03.2026. u 11:31
Novi Beograd Savski kej LUX 3-soban Pet friendly	500 €	Beograd	Opština Novi Beograd	Blok 72	Dr Ivana Ribara	stan	60 m2	3.0	Agencija	CG	namešteno	5			['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit', 'Dozvoljeni kućni ljubimci']	['Terasa', 'Klima', 'Lift', 'KATV', 'Internet', 'Parking']	Odlican stan kod Savskog keja  Trosobne strukture, svetao, cist, okrecen  Sastoji se od ulaznog hodnika, dnevnog boravka, odvojena kuhinja sa sudo masinom, trpezarija, DVE spavace sobe, terasa, kupatilo, centralno grejanje, inverter klima, slobodan javni parking ispred zgrade Odmah useljiv  Depozit 500e Dozvoljeni manji kucni ljubimci  Rezije 150e ( infostan , KTV, brz internet, struja, upravnik, ciscenje zgrade) Agencijska provizija 50% od cene zakupa jednokratno 	5425646837162	02.03.2026. u 11:30
Nov lux stan sa garažom	1.350 €	Beograd	Opština Stari grad	Dorćol	Budimska	stan	70 m2	3.0	Agencija	Toplotne pumpe	namešteno	2	4	mesečno	['Odmah useljiv', 'Depozit']	['Terasa', 'Klima', 'Lift', 'Telefon', 'KATV', 'Internet', 'Interfon', 'Video nadzor', 'Garaža']	Ukoliko želite zaista maksimalan komfor za svoje novce, savršen stan u lepom novom objektu koji će vas oduševiti estetikom, ali i malim troškovima, izvolite- potpuno nov stan, kompletno i kvalitetno opremljen vrhunskim nameštajem i tehnikom i spreman za useljenje, u reprezentativnom objektu, na sjajnoj lokaciji, gde vam je sve najbolje od Beograda u domenu kratke šetnje, i sve to u zgradi sa malim brojem stanova, i sa parking mestom u garaži zgrade u oglašenoj ceni zakupa. Ukoliko ste zainteresovani, izvolite, mi smo vam na raspolaganju za bilo koja dodatna pitanja i posetu stanu, u koji možete odmah da uselite, uz mesečno plaćanje i depozit u visini jedne rente. Napominjemo da manja spavaća soba nije opremljena, te da će biti opremljena u zavisnosti od potreba budućeg zakupca, kao radna, dečija , ili gostinska soba. Kućni ljubimci nisu dozvoljeni, a za strane državljane je moguća prijava na adresu boravka. Vaš posrednik Vista nekretnine Agencija naplaćuje proviziju za posredovanje u zakupu ove nepokretnosti If you really want maximum comfort for your money, a perfect apartment in a beautiful new building that will delight you with its aesthetics, but also low costs, here you go - a brand new apartment, completely and well equipped with top-quality furniture and appliances and ready to move in, in a representative building, in a great location, where you have the best of Belgrade within a short walk, and all this in a building with a small number of apartments, and with a parking space in the building's garage at the advertised rental price. If you are interested, please, we are at your disposal for any additional questions and a visit to the apartment, which you can move into immediately, with a monthly payment and a deposit in the amount of one rent. Please note that the smaller bedroom is not furnished, and will be furnished depending on the needs of the future tenant, as a study, children's, or guest room. Pets are not allowed, and for foreign citizens it is possible to register at the address of residence. Your broker Vista Real Estate The agency charges a commission for mediation in the rental of this real estate	5425646587080	02.03.2026. u 11:29
Dvosoban stan u Jajincima, parking za stanare	280 €	Beograd	Opština Voždovac	Jajinci		stan	36 m2	2.0	Agencija	Norveški radijatori	namešteno	PSUT			['Odmah useljiv', 'Nije stan u kući', 'Depozit']	['KATV', 'Interfon', 'Parking']	U ponudi dvosoban stan u ulici Doktora Nenada Parente - Jajinci. Zgrada je udaljena od autobuskog stajališta 500m odnosno 8 minuta hoda.   Stan se sastoji od dnevne sobe sa kuhinjom, spavaće sobe i kupatila. Nalazi se u niskom prizemlju novije zgrade, stan je u ravni sa zemljom ali se do njega dolazi stepenicama ka dole. Ispred stana postoji numerisan parking za stanare zgrade.  Infostan 2.200 din Struja izmedju 4 i 7.000 din Postoji mts kablovska 2.100 din, može se isključiti ukoliko Vam nije potrebno Ugovor se potpisuje sa vlasnikom na godinu dana.  Agencijska naknada iznosi 50% od dgovorene cene zakupnine.	5425646837825	02.03.2026. u 11:18
Tosin bunar 4-soban Kod Instituta majka i dete	600 €	Beograd	Opština Novi Beograd	Tošin bunar	Tošin bunar	stan	72 m2	4.0	Agencija	EG	namešteno	3			['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit']	['Terasa', 'Klima', 'Lift', 'KATV', 'Internet']	Izuzetna lokacija Novi Beograd kod Instituta majka i dete, blizina Zemuna Stan 4-sobne strukture  Sastoji se od ulaznog hodnika, dnevnog boravka open space sa trpezarijom i kuhinjom, TRI odvojene spavace sobe, kupatilo, terasa, klima  Mali troskovi Odmah useljiv  Depozit 600e Nisu dozvoljeni kucni ljubimci  Agencijska provizija 50% od cene zakupa jednokratno  Excellent location New Belgrade nearby Zemun Apartment with 4 rooms  It consists of entrens hall, living room open space with dining room and kitchen, THREE separate bedroom, bathroom, terrace, air conditioning  Small bills  Deposit 600e Ready to move in immediately  Agency commission 50% of the first rent 	5425646765809	02.03.2026. u 11:10
Studio u BW Thalia sa dvorištem kod SC Apolo ID#25	950 €	Beograd	Opština Savski venac	Beograd na vodi		stan	33 m2	1.0	Agencija	CG		PR		mesečno	['Odmah useljiv', 'Depozit']	['Klima', 'Lift', 'Topla voda', 'Interfon']	Izdaje se moderan i funkcionalan stan od 33m² u prizemlju zgrade BW Thalia, u okviru prestižnog kompleksa Belgrade Waterfront. Stan poseduje izlaz u privatno dvorište, što ga čini izuzetno atraktivnim i prilagodljivim za različite namene. Zahvaljujući prizemnoj poziciji i lakoj dostupnosti, prostor je idealan kako za stanovanje, tako i za poslovnu delatnost. Posebna prednost lokacije je blizina Sportski centar Apolo, kao i osnovne škole i vrtića, što dodatno povećava frekventnost i pogoduje delatnostima usmerenim ka porodicama i svakodnevnim uslugama. Prostor je posebno pogodan za: - kancelarijski prostor - salon lepote ili kozmetički studio - frizerski salon - manju kafeteriju ili boutique koncept - studio za masažu ili wellness usluge Moderno i urbano okruženje pruža odličnu vidljivost i reprezentativnost svakoj poslovnoj ideji. Za više informacija i zakazivanje razgledanja, kontaktirajte nas. Agencijska provizija iznosi 50% mesečne zakupnine.	5425646837342	02.03.2026. u 11:05
Centar, Maršala Birjuzova, namešten, 30m2+100m2	800 €	Beograd	Opština Stari grad	Centar	Maršala Birjuzova	stan	30 m2	1.0	Agencija		namešteno	PR		mesečno	['Odmah useljiv', 'Depozit']	['Klima', 'KATV', 'Internet', 'Sa baštom']	 Stan na odličnoj lokaciji – kod Trga Republike  Jednosoban stan (1.0), površine 30 m², sa čak 100 m² bašte koja pruža dodatni komfor i privatnost – idealno za uživanje, rad od kuće ili opuštanje na otvorenom. Stan je opremljen inverter klimom, funkcionalnog rasporeda i pogodan za jednu ili dve osobe. Izuzetna lokacija – u neposrednoj blizini centra grada, prodavnica, kafića, prevoza i svih važnih sadržaja. Kirija uključuje sve ukupne račune – bez dodatnih troškova. Za više informacija i dogovor oko gledanja, javite se.  Agencijska provizija 50% od cene zakupnine	5425646836953	02.03.2026. u 10:49
Cetvorosoban lux stan sa garazom	2.700 €	Beograd	Opština Vračar	Kalenić pijaca		stan	140 m2	4.0	Agencija	Toplotne pumpe	namešteno	2	6	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit']	['Terasa', 'Klima', 'Lift', 'Telefon', 'KATV', 'Internet', 'Interfon', 'Video nadzor', 'Garaža']	Izdaje se reprezentativan, izuzetno komforan stan površine 140 m², smešten u novoj, arhitektonski kvalitetnoj zgradi na jednoj od najpoželjnijih lokacija na Vračaru, u tihoj i ekskluzivnoj gradskoj zoni. Stan se odlikuje impresivnim, svetlim dnevnim boravkom koji je u otvorenom konceptu povezan sa trpezarijom i savremeno opremljenom kuhinjom vrhunskog kvaliteta, sa pažljivo biranim aparatima renomiranih proizvođača. Raspored obuhvata tri komforne spavaće sobe, uključujući luksuznu master spavaću sobu sa sopstvenim kupatilom. Dodatno su na raspolaganju još jedno kompletno kupatilo, kao i zaseban toalet. Enterijer je u potpunosti opremljen nameštajem i tehnikom visokog standarda, sa naglaskom na kvalitetne prirodne materijale, elegantne drvene tonove i sofisticirano ambijentalno osvetljenje koje doprinosi osećaju topline, komfora i savremene elegancije. Funkcionalni hodnici nude obilje prostora za odlaganje i dodatno doprinose praktičnosti stana. Uz stan dolazi garažno mesto uključeno u cenu. Zgrada je nova, sa urednim i diskretnim ulazom, liftom i visokim nivoom održavanja. Mirno okruženje, u kombinaciji sa izuzetnom infrastrukturnom povezanošću i prestižnom lokacijom, čini ovu nekretninu idealnim izborom kako za porodično stanovanje, tako i za poslovne ljude koji traže vrhunski komfor, privatnost i luksuz u samom srcu Beograda. Obavezan depozit u visini jedne mesečne zakupnine. Idealno za zakupce koji traže luksuz, komfor i prestižnu adresu. Za sve dodatne informacije kontaktirati Elite tim. Broj u Registru posrednika: 337 Radno vreme:Radnim danima od 09:00h do 17:00h Agencijska provizija u skladu sa uslovima poslovanja.	5425646763490	02.03.2026. u 10:47
Arena blok 24 luksuzan,kompletno namesten,	700 €	Beograd	Opština Novi Beograd	Blok 24 (Super Vero)	Španskih boraca	stan	40 m2	2.0	Vlasnik	CG	namešteno	4	6	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit', 'Za pušače', 'Za nepušače']	['Terasa', 'Klima', 'Lift', 'Topla voda', 'Interfon', 'Video nadzor']	IZDAJE SE kompletno renoviran i luksuzno opremljen stan na ekskluzivnoj lokaciji, u srcu Novog Beograda  Stan se nalazi na jednoj od najtrazenijih lokacija u Beogradu, u Bloku 24,na samo nekoliko koraka od Arene i poslovne zone.U neposrednoj blizini su marketi, kafici, restorani i odlična povezanost sa gradskim prevozom sa svim delovima grada.  Nekretnina je luksuzno i temeljno renovirana, sa ugrađenim kvalitetnim materijalima i opremom.Dizajn enterijera je moderan i funkcionalan,a sav namestaj i bela tehnika su potpuno novi i nekorisceni.Stan poseduje dnevnu sobu sa kuhinjom, odvojenu spavacu sobu, kupatilo,hodnik i terasu koja je uredjena sa kvalitetnom pvc stolarijom,roletnama i ambijentalnom LED rasvetom.  Ovaj stan nudi visok nivo udobnosti i idealan je za pojedince ili parove koji traze kvalitetan i uređen životni prostor na prestiznoj lokaciji.U slucaju da se stan iznajmljuje na duze vreme,moguce je korigovanje kirije.	5425646660678	02.03.2026. u 10:41
Garsonjera	280 €	Beograd	Opština Palilula	Karaburma	Husinskih rudara	stan	28 m2	1.0	Vlasnik	TA	namešteno	5	5	mesečno	['Odmah useljiv', 'Depozit', 'Za pušače', 'Za nepušače', 'Za studente', 'Dozvoljeni kućni ljubimci', 'Potkrovlje']	['Klima']	Garsonjera sa posebnim ulazom. 	5425646836740	02.03.2026. u 10:39
Svetao studio s pogledom na Zvezdarsku šumu	650 €	Beograd	Opština Zvezdara	Lion		stan	27 m2	1.0	Agencija		prazno	5		mesečno	['Odmah useljiv', 'Nije stan u kući']	['Francuski balkon', 'Lift']	Izdaje se sladak, funkcionalan studio u novom i modernom kompleksu Viva Residences, na 5. spratu. Stan ima 27 m² i odlikuje ga izvrstan raspored i puno prirodne svetlosti. Poseduje kuhinju sa električnim uređajima, prostran garderober, kao i francuski balkon sa prelepim pogledom na unutrašnje dvorište i Zvezdarsku šumu – idealno za mir i uživanje nakon napornog dana. Stan se nalazi na uglu ulica Milana Rakića i Batutove, na lokaciji koja je u blizini prirode, a istovremeno na samo nekoliko minuta od centra grada, odlično povezana sa svim delovima Beograda (više linija gradskog prevoza, brza veza ka centru, Vukovom spomeniku i autoputu). Stan se izdaje nenamešten, što je savršeno za one koji žele da prostor urede po sopstvenom ukusu.	5425646763948	02.03.2026. u 10:37
Crveni krst, novogradnja, garaža, ID 25363	900 €	Beograd	Opština Vračar	Crveni krst	Žička	stan	60 m2	2.5	Agencija	Podno	namešteno	5	7	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit']	['Klima', 'Lift', 'Telefon', 'KATV', 'Internet', 'Interfon', 'Video nadzor', 'Garaža', 'Parking']	Lepo sređen stan u novogradnji, potpuno opremljen, funkcionalan, dve spavaće sobe, kupatilo i toalet, podno grejanje, garažno mesto uz doplatu 100 eur. Agencijska provizija za zakupca se plaća u iznosu od 50% + PDV dogovorene jednomesečne zakupnine za period zakupa u trajanju do 12 meseci	5425646836739	02.03.2026. u 10:36
Izdaje se stan u centru Beograda	1.500 €	Beograd	Opština Stari grad	Centar	Kneza Mihaila	stan	96 m2	4.0	Agencija	CG	prazno	1	4	mesečno	['Odmah useljiv', 'Depozit', 'Salonski']	['Klima', 'Lift', 'Interfon']	Izdaje se stan u ul.Kneza Mihaila u centru Beograda povrsine 96m2 na prvom spratu. Stan se izdaje prazan sa opremljenom kuhinjom, potpuno renoviran,CG,klima,sigurnosna vrata,lift. Stan je pogodan za poslovni prostor. Cena 1.500e. Kontakt : 0693391504	5425646435845	02.03.2026. u 10:20
BW Verde, lux, novogradnja, garaža, ID 23846	1.500 €	Beograd	Opština Savski venac	Beograd na vodi	Bulevar Vudroa Vilsona	stan	80 m2	3.0	Agencija	CG	namešteno	1	23	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit', 'Dozvoljeni kućni ljubimci']	['Terasa', 'Klima', 'Lift', 'Telefon', 'KATV', 'Internet', 'Interfon', 'Video nadzor', 'Garaža', 'Parking']	Komforan u zgradi BW Verde. Stan je lepo sređen, potpuno opremljen, poseduje dve dve spavaće sobe od kojih je jedna soba master sa sopstvenim kupatilom, dodatno kupatilo i terasu, garažno mesto uz doplatu 100 eur. Izuzetna zgrada u ponudi - Verde - rezidencijalna zgrada koja poseduje jako lepo uređeno zajedničko dvorište koje dodatno obezbeđuje privatnost. Stanari zgrade imaju direktan pristup novom parku Beograd. Klimatizacija je putem multisplit sistema. Visina plafona 2.8m ima za ideju da istakne prefinjenost, eleganciju i prostranost prostorija, na šta dodatno utiču prozori od poda do plafona. Grejanje će biti po utrošku, povezano na gradsku toplanu. Zgrada će posedovati recepciju i fizičko-tehničko obezbeđenje 24/7. Agencijska provizija za zakupca se plaća u iznosu od 50% + PDV dogovorene jednomesečne zakupnine za period zakupa u trajanju do 12 meseci	5425645249493	02.03.2026. u 10:15
Extra,Landmark Residnce,Nov, 96m2, Garaža	1.500 €	Beograd	Opština Vračar	Centar	Bulevar kralja Aleksandra	stan	96 m2	3.0	Agencija	CG	namešteno	6		mesečno	['Odmah useljiv', 'Depozit']	['Terasa', 'Klima', 'Lift', 'Telefon', 'KATV', 'Internet', 'Interfon', 'Video nadzor', 'Sa baštom']	Extra 96 m2, 3.0, prvi put se rentira, komotan,u prestižnom kompeksu na veoma traženoj lokaciji, odlična sobraćajna povezanost, dosta linija javnog prevoza u okruženju ( autobus, tramvaj, trolejbus, voz),pešačka udaljenost od brojnih prodavnica, marketa, banki, Tašmajdanskog parka, fakulteta, škola, vrtića... Sastoji se od dnevne sobe sa izlazom na nadkrivenu terasu ( pogodna za sedenje i ušivanje) i povezane sa kuhinjom i trpezarijom, master sobe sa kupatilom( kada) i dobro osmišljenim garderobnim delom, 2 spavaće - dečije -radne sobe, kupatila sa tuš kabinom, toaleta, vešeraja u kojem su mašine za pranje i sušenje veša, ostava i ulaznog hodnika. Garažno mesto po dogovoru. Organizovano održavanje i obezbeđenje 24/7. Extra 96 m2, 3.0, for rent for the first time, in a prestigious complex in a highly sought-after location, excellent neighborhood connections, plenty of public transportation lines in the area (bus, tram, trolleybus, train), walking distance from numerous shops, markets, banks, Tašmajdanski Park, colleges, schools, kindergartens... It consists of a living room with access to a covered terrace (suitable for sitting and sewing) and connected to the kitchen and dining room, a master bedroom with a bathroom (bathtub) and a well-designed wardrobe, 2 bedrooms - children's - office, bathroom with shower, toilet, laundry room with washing and drying machines, storage room and entrance hall. Garage space by agreement. Organized maintenance and security 24/7.	5425646367883	02.03.2026. u 10:13
Moderan dizajnerski stan – Glavna, Zemun ID#2570	850 €	Beograd	Opština Zemun	Centar	Glavna	stan	85 m2	2.5	Agencija	Toplotne pumpe	namešteno	2	2	mesečno	['Odmah useljiv', 'Depozit', 'Dozvoljeni kućni ljubimci']	['Klima', 'Internet', 'Video nadzor', 'Parking']	Izdaje se dizajnerski uređen stan u Zemunu, u Glavnoj ulici br. 18. Potkrovlje vrhunske arhitekture, modernog koncepta i funkcionalnog rasporeda. Struktura: -85m2 (mereno na 1,6m visine) -Dnevni boravak -Spavaća soba -Galerija sa krevetom za spavanje -Kuhinja -Kupatilo Stan je kompletno renoviran i opremljen sistemom toplotnih pumpi sa fan coil jedinicama za grejanje i hlađenje. Uz stan dolazi parking mesto. Lokacija u samom centru Zemuna, u Glavnoj ulici, na nekoliko minuta od Gardoša, Dunavskog keja i kompletne gradske infrastrukture. Cena: 850e mesečno Branislav Matić +381642420492 Agencijska provizija 50% od prve mesečne kirije. _ Designer apartment for rent in Zemun, located at Glavna 18. Architecturally unique attic space with a modern concept and functional layout. Total area is 85m2 (measured at 1.6m height) and includes a living room, bedroom, gallery with sleeping area, kitchen and bathroom. Fully renovated and equipped with a heat pump system and fan coil units for heating and cooling. Parking space included. Located in the very center of Zemun, close to Gardos, the Danube riverside and all key amenities. Price: 850 EUR per month. Branislav Matić +381642420492 Agency fee: 50% of the first month’s rent.	5425646828294	02.03.2026. u 10:12
Strogi centar, Topličin venac, namešten, 46m2	550 €	Beograd	Opština Stari grad	Topličin venac	Topličin venac	stan	46 m2	1.5	Vlasnik	CG	namešteno	3	9	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit', 'Za studente']	['Lift', 'Podrum', 'Internet', 'Interfon']	Stan na izuzetnoj lokaciji u samom centru grada, u neposrednoj blizini Trga republike i Kalemegdana.  Okrenut ka mirnoj dvorišnoj strani, što omogućava prijatan boravak bez gradske buke.  Potpuno namešten i pogodan za pojedinca ili par. Opremljen mašinom za pranje sudova, zamrzivačem i mikrotalasnom pećnicom.  Bez agencijske provizije. Depozit u visini jedne mesečne kirije.	5425646821337	02.03.2026. u 10:08
Lux, Noviji, 3.0, 85m2, Svetao, Bez buke, Garaža	1.300 €	Beograd	Opština Novi Beograd	Blok 65		stan	85 m2	3.0	Agencija	CG	namešteno	7		mesečno	['Odmah useljiv', 'Depozit']	['Klima', 'Lift', 'Telefon', 'KATV', 'Internet', 'Interfon', 'Video nadzor', 'Garaža']	Lux, noviji3.0  moderan 85m2 stan, svetao( veće staklene površine )opremljen kvalitetnim nameštajem, tehnikom, uređajima i svim neophodnim stvarima, bez buke. Odlično saobraćajno povezan, brz pristup na velike bulevare, mostove, aerodrum 15 min, Veliki broj linija javnog prevoza u okruženju(autobus, tramvaj, mini bus, voz). Neposredna blizina Airport city, West 65, ruske škole, doma zdravlja, Lidla, Rode, Ideje, Maxi., na pešačkoj udajenosti od Delta City, savskog šetališta, doma zdravlja.... Sastoji se od velike dnevne sobe, povezane sa trpezarijom i dvostranom kuhinjom, veće  spavaće sobe, druge spavaće sobe,kupatila, toaleta,  terase. Grejanje po porošnji. Garažno mesto 100 eur. Nova i lepa zgrada, sa organizovanim sistemom održavanja, i uređenim dvorištom sa prilagođenom deci. Lux, newer 3.0 modern 85m2 apartment, bright (larger glass surfaces) equipped with quality furniture, appliances, appliances and all necessary things, without noise. Excellent traffic connection, quick access to major boulevards, bridges, airport 15 min. A large number of public transport lines in the area (bus, tram, minibus, train). Close proximity to Airport city, West 65, Russian school, health center, Lidl, Rode, Ideja, Maxi., walking distance from Delta City, Sava promenade, health center.... It consists of a large living room, connected to the dining room and two-sided kitchen, a larger bedroom, another bedroom, bathroom, toilet, terrace. Heating by heating. Garage space 100 eur. A new and beautiful building, with an organized maintenance system, and a landscaped yard suitable for children.	5425646826669	02.03.2026. u 09:58
Bw Simfonia sunny side sa garazom	1.200 €	Beograd	Opština Savski venac	Beograd na vodi	Hercegovacka	stan	50 m2	2.0	Agencija	CG	namešteno	12			['Odmah useljiv']	['Terasa', 'Klima', 'Lift', 'KATV', 'Internet', 'Video nadzor', 'Garaža', 'Parking']	❇️Izdajemodvosoban stan površine 50m² u zgradi BW Simfonia, sa pogledom prema unutrašnjem parku.  ❇️Stan se sastoji od ulaznog hodnika, kuhinje, dnevne sobe sa izlazom na terasu, spavać sobe, kupatila i vešernice.  ❇️Garažno mesto u zgradi uključeno u cenu.  ❇️Nalazi se u luksuznom kompleksu Beograda na vodi, u neposrednoj blizini reke, šetališta, restorana i svih potrebnih sadržaja. Zgrada je novogradnja visokog standarda, sa obezbeđenjem, video-nadzorom i recepcijom.  Za sve informacije pozovite. Agencijska provizija iznosi 50% od cene prve mesečne zakpnine.  ❇️Two-bedroom apartment of 50m² for rent in the BW Simfonia building, with a view of the inner park.  ❇️The apartment consists of an entrance hall, kitchen, living room with access to the terrace, bedroom, bathroom and laundry room.  ❇️Garage space in the building included in the price.  ❇️It is located in the luxurious complex of Belgrade on the water, in the immediate vicinity of the river, promenade, restaurants and all necessary facilities. The building is a new construction of a high standard, with security, video surveillance and reception.  For all information, call. The agency commission is 50% of the price of the first monthly lease.	5425646750783	02.03.2026. u 09:58
Novi Beograd - Belville #62158	900 €	Beograd	Opština Novi Beograd	Blok 67 (Belvil)	Đorđa Stanojevića	stan	60 m2	2.0	Agencija	CG	namešteno	7	13	mesečno	['Nije poslednji sprat', 'Depozit']	['Terasa', 'Klima', 'Lift', 'Telefon', 'KATV', 'Internet']	50% od prve mesečne zakupnine	5425646742366	02.03.2026. u 09:55
Izdajem stan na Karaburmi	550 €	Beograd	Opština Palilula	Karaburma	Husinskih rudara 37	stan	63 m2	2.5	Vlasnik	TA	namešteno	5	6	mesečno	['Odmah useljiv', 'Depozit', 'Za pušače', 'Za nepušače', 'Za studente']	['Terasa', 'Lođa', 'Klima', 'Interfon', 'Video nadzor', 'Parking']	Nov stan u parku sa pogledom na Dunavu. Stara okretnica I više buseva.  Škole, obdaništa i propratne ustanove u blizini. 	5425636234877	02.03.2026. u 09:54
The One, lux, novogradnja, garaža, ID 25159	1.000 €	Beograd	Opština Novi Beograd	Blok 67a (A blok)	Omladinskih brigada	stan	72 m2	2.0	Agencija	CG	namešteno	6		mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit']	['Terasa', 'Klima', 'Lift', 'Telefon', 'KATV', 'Internet', 'Interfon', 'Video nadzor', 'Garaža', 'Parking']	Nov, neuseljavan, kvalitetno opremljen stan u lux kompleksu The One, komforan, poseduje odvojenu spavaću sobu, dve terase (grejna površina je 58m2), dvostrano orijentisan - jug-sever, grejanje je cg po utrošku, zgrada pokrivena video nadzorom, garažno mesto je uračunato u cenu. Agencijska provizija za zakupca se plaća u iznosu od 50% + PDV dogovorene jednomesečne zakupnine za period zakupa u trajanju do 12 meseci	5425646836727	02.03.2026. u 09:44
Izdavanje stana	400 €	Beograd	Opština Voždovac	Braće Jerković	Klinska	stan	35 m2	1.0	Vlasnik	Gas	namešteno	PR	2	mesečno	['Odmah useljiv', 'Depozit', 'Za pušače', 'Za nepušače', 'Za studente']	['Terasa', 'Topla voda', 'KATV', 'Internet', 'Parking', 'Sa baštom']	Izdajem namešten renoviran stan, odmah useljiv. U cenu uključene sve režije (struja, voda, grejanje, kablovska tv i internet). Na odličnoj lokaciji, 50 m od okretnice autobusa 26, blizu stajališta 18 i 50. Super Vero i Maxi su u blizini. Zvati posle 16h.	5425645197711	02.03.2026. u 09:42
Garsonjera stara Karaburma	300 €	Beograd	Opština Palilula	Bogoslovija	Sime Šolaje	stan	25 m2	1.0	Vlasnik	TA	namešteno	1	4		['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit']	['Terasa', 'Francuski balkon', 'Internet']	Garsonjera 25 m² – Bogoslovija – 300 € Izdaje se funkcionalna i svetla garsonjera površine 25 m² na veoma dobroj lokaciji u blizini Bogoslovije, u Beogradu. Stan je praktično organizovan i sastoji se od dnevnog prostora sa kuhinjom i kupatila. Nalazi se na lokaciji sa odličnom povezanošću sa svim delovima grada i u blizini prodavnica, marketa, autobuskih linija i drugih sadržaja neophodnih za svakodnevni život. Odlična lokacija Pogodno za jednu osobu ili par Blizina gradskog prevoza i svih sadržaja Cena zakupa: 300 € mesečno Depozit: u visini jedne kirije Stan je odmah useljiv. Za više informacija i zakazivanje gledanja stana pozvati.	5425646833332	02.03.2026. u 09:42
Izdajem stan u Batajnici sa samca/samicu	350 €	Beograd	Opština Zemun	Batajnica	Branisiava Barišića doktora 44	stan	39 m2	1.0	Vlasnik	CG	namešteno	VPR	3	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Depozit', 'Za studente']	['Terasa', 'Klima', 'KATV', 'Internet', 'Interfon', 'Parking']	Izdajem stan u zgradi, isključivo samo za samce. Stan je 350 eura. Mesečne režije su po potrošnji. Kućni ljubimci nisu dozvoljeni. Stan je namešten. 	5425645226172	02.03.2026. u 09:39
Centar	450 €	Beograd	Opština Savski venac	Ekonomski fakultet	Lička	stan	36 m2	1.0	Vlasnik	CG	namešteno	2	5	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit', 'Za nepušače', 'Za studente', 'Smeštaj za radnike', 'Salonski']	['Terasa', 'Klima', 'KATV', 'Internet', 'Interfon', 'Parking']	Izdajem potpuno renoviran i namešten stan . Stan gleda na dvorište , odmah useljiv. Mesečna zakupnina: 450€ + 150€ - rezije .	5425646754901	02.03.2026. u 09:38
Trosoban stan Borča	400 €	Beograd	Opština Palilula	Borča	Valjevskog odreda	stan	52 m2	3.0	Vlasnik		namešteno	1	4	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit', 'Za pušače', 'Za studente', 'Dozvoljeni kućni ljubimci']	['Terasa']	U Borči izdaje se trosoban stan od 52 kvadratnih metara. Stan se nalazi na prvom spratu četvorospratne zgrade iz 2018. godine i u uobičajenom je stanju. Parking je dostupan u javnoj zoni van naplate. Lokacija u Borči pruža miran ambijent uz dobru povezanost sa centrom Beograda. Autobuske linije 85, 95 i 96 omogućavaju jednostavan pristup drugim delovima grada. U blizini se nalaze osnovna škola, vrtić, prodavnice, restorani, banka, pošta i autobuska stanica, što svakodnevne obaveze čini praktičnim. Mesečna kirija iznosi 400 evra, uz obavezan depozit u istom iznosu. Režijski troškovi se kreću od 5.000 do 7.000 dinara. Stan je pogodan za porodice, a vlasnik ga direktno izdaje. Pušenje je dozvoljeno, kao i kućni ljubimci. 	5425646836725	02.03.2026. u 09:37
